well_id,geology_type,aquifer_classification,confidence
SGUN057-OW,Basalt,Weathered,1.0
SGUN058-OW,Basalt,Weathered,1.0
SGUN059-OW2016,Basalt,Weathered,1.0
SGUN060-OW2016,Basalt,Weathered,1.0
SGUN061-OW2016,Basalt,Weathered,1.0
SGUN062-OW2016,Basalt,Weathered,1.0
SGUN063-OW2016,Basalt,Weathered,1.0
SGUN064-OW2016,Basalt,Weathered,1.0
SGUN065-OW2016,Basalt,Weathered,1.0
SGUN066-OW2016,Basalt,Weathered,1.0
SGUN067-OW2016,Basalt,Weathered,1.0
SGUN068-OW2016,Basalt,Weathered,1.0
SGUN069-OW2016,Basalt,Weathered,1.0
SGUN070-OW2016,Basalt,Weathered,1.0
SGUN071-OW2016,Basalt,Weathered,1.0
SGUN072-OW2016,Basalt,Weathered,1.0
SGUN073-OW2016,Basalt,Weathered,1.0
SGUN074-OW2016,Basalt,Weathered,1.0
SGUN075-OW2016,Basalt,Weathered,1.0
SGUN076-OW2016,Basalt,Weathered,1.0
SGUN077-OW2016,Basalt,Weathered,1.0
SGUN078-OW2016,Basalt,Weathered,1.0
SGUN079-OW2016,Basalt,Weathered,1.0
SGUN080-OW2016,Basalt,Weathered,1.0
SGUN081-OW2016,Basalt,Weathered,1.0
SGUN082-OW2016,Basalt,Weathered,1.0
SGUN083-OW2016,Basalt,Weathered,1.0
SGUN084-OW2016,Basalt,Weathered,1.0
SGUN085-OW2016,Basalt,Weathered,1.0
SGUN086-OW2016,Basalt,Weathered,1.0
SGUN087-OW2016,Basalt,Weathered,1.0
SGUN088-OW2016,Basalt,Weathered,1.0
SGUN089-OW2016,Basalt,Weathered,1.0
SGUN090-OW2016,Basalt,Weathered,1.0
SGUN091-OW2016,Basalt,Weathered,1.0
SGUN092-OW2016,Basalt,Weathered,1.0
SGUN093-OW2016,Basalt,Weathered,1.0
SGUN094-OW2016,Basalt,Weathered,1.0
SGUN095-OW2016,Basalt,Weathered,1.0
SGUN096-OW2016,Basalt,Weathered,1.0
SGUN097-OW2016,Basalt,Weathered,1.0
SGUN098-OW2016,Basalt,Weathered,1.0
SGUN099-OW2016,Basalt,Weathered,1.0
SGUN100-OW2016,Basalt,Weathered,1.0
SGWL001-PZ,Vindhyan,Fractured,0.6
SGWL002-PZ,Vindhyan,Weathered,0.2
SGWL003A-OW,Vindhyan,Weathered,0.5
SGWL003-PZ,Vindhyan,Weathered,0.6
SGWL004A-OW,Vindhyan,Weathered,0.67
SGWL004-PZ,Vindhyan,Weathered,0.5
SGWL005-PZ,Vindhyan,Weathered,0.25
SGWL006-PZ,Granite,Weathered,0.5
SGWL007-OW,Vindhyan,Weathered,0.5
SGWL007-PZ,Vindhyan,Fractured,0.71
SGWL009A-OW,Vindhyan,Unknown,0.67
SGWL011A-OW,Vindhyan,Weathered,1.0
SGWL012-OW,Vindhyan,Weathered,0.5
SGWL015A-OW,Granite,Weathered,0.33
SGWL016A-OW,Granite,Weathered,0.33
SGWL017-OW,Granite,Weathered,0.33
SGWL018-OW,Granite,Weathered,0.33
SGWL021-OW,Vindhyan,Weathered,0.67
SGWL022-OW,Vindhyan,Weathered,0.67
SGWL023-OW,Granite,Weathered,0.33
SGWL024-OW,Granite,Weathered,0.67
SGWL025-OW,Vindhyan,Weathered,0.67
SGWL026-OW,Vindhyan,Weathered,0.67
SGWL027-OW,Vindhyan,Weathered,0.5
SGWL028-OW,Vindhyan,Weathered,0.67
SGWL030A-OW,Vindhyan,Weathered,0.67
