Well No,Well Type,District,Tahsil / Taluk,Block / Mandal,Village,Northing,Easting,Elevation of Ground Level,Aquifer Zone,Command Area,Coord Validated,geology_type,aquifer_classification
BPL027A-OW,Observation Well,Unknown,Berasia,Berasia,Gunga,23.451667,77.358611,502.0,,,False,Basalt,Weathered
BPL028A-OW2016,Observation Well,Unknown,Berasia,Berasia,Mudiya Kheda (jaitpura),23.443056,77.383333,484.0,,,False,Basalt,Weathered
BPL029A-OW,Observation Well,Unknown,Berasia,Berasia,Harra-kheda,23.514722,77.398889,479.0,,,False,Basalt,Weathered
BPL030-OW,Observation Well,Unknown,Berasia,Berasia,Dellod,23.509722,77.372222,469.915,,,False,Basalt,Weathered
BPL031A-OW2016,Observation Well,Unknown,Berasia,Berasia,Sonkachh,23.551944,77.411111,493.0,,,False,Basalt,Weathered
BPL032A-OW,Observation Well,Unknown,Berasia,Berasia,Ratua Ratanpura,23.460278,77.412778,490.0,,,False,Basalt,Weathered
BPL033A-OW,Observation Well,Unknown,Hujur,Fanda,Berkhedi Kala,30.205,77.358611,516.0,,,False,Basalt,Weathered
BPL034-OW,Observation Well,Unknown,Hujur,Fanda,Bairagarh chichli,23.152222,77.408889,473.0,,,False,Basalt,Weathered
BPL035-OW,Observation Well,Unknown,Berasia,Berasia,Ejgiri,23.509444,77.351111,483.73,,,False,Basalt,Weathered
BPL036A-OW,Observation Well,Unknown,Hujur,Fanda,Chopra kala,23.325278,77.464167,494.0,,,False,Basalt,Unknown
BPL037-OW,Observation Well,Unknown,Berasia,Berasia,Mangal garh,23.708333,77.209722,448.0,,,False,Basalt,Weathered
BPL038A-OW2016,Observation Well,Unknown,Berasia,Berasia,Kolukhedi,23.521667,77.419167,440.0,,,False,Basalt,Weathered
BPL039-OW,Observation Well,Unknown,Berasia,Berasia,Runaha,23.819167,77.296389,444.0,,,False,Basalt,Weathered
